year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,candidatevotes,Result,Strategy 1,strategy 2,strategy 3,strategy 4,strategy 5,People_ survey (%)
2004,ILLINOIS,IL,17,33,21,US PRESIDENT,OTHER,,4384,loss,free education,Loan waiver to hotels,Free hospitalization,Decrease of tax,free laptop,15%
2004,USNA,IN,18,32,22,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,1479438,win,Decrease of tax,Free hospitalization,Job to Youth 40%,Govt job to ladies ,free education,37%
2004,USNA,IN,18,32,22,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,969011,loss,Monthly RS 1500 for household women's,2 GB data free for college student,Reservation in private sector will also be insisted  and promised subsidies for small farmers ,repayment omission for gold loan,Cancel of education loan,19%
2004,USNA,IN,18,32,22,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,18058,loss,decrease of milk price,Expanding the rural employment guarantee scheme to 150 days,Improvising USn economy to 5 trillion dollars,free laptop,Free washing machine for each house,27%
2004,USNA,IN,18,32,22,US PRESIDENT,OTHER,,1495,loss,Increasing the investment from foreign MNC'S,Same ration card for all the states,Increasing the investment from foreign MNC'S,women would get a 50% fare cut in town buses,women would get a 50% fare cut in town buses,22%
2004,IOWA,IA,19,42,31,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,751957,win,Free washing machine for each house,Monthly RS 1500 for household women's,cencel of education loan,free laptop,6 LPG cylinders are free for a year,33%
2004,IOWA,IA,19,42,31,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,741898,loss,Clean US,Gas pipeline plan,2 GB data free for college student,Transportation services in rual areas,HI-Tech highways,18%
2004,IOWA,IA,19,42,31,US PRESIDENT,OTHER,,6149,loss,Distribution of solar-powered cooking stoves,Free bicycle,Tourism development,free education,Govt job to ladies ,19%
2004,IOWA,IA,19,42,31,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,2992,loss,Loan waiver to hotels,Education empowerment,decrease of petrol price,free laptop,Distribution of solar-powered cooking stoves,29%
2004,IOWA,IA,19,42,31,US PRESIDENT,"PEROUTKA, MICHAEL",CONSTITUTION PARTY,1304,loss,Free hospitalization,Decrease of tax,Govt job to ladies ,free education,Job to Youth 40%,39%
2004,IOWA,IA,19,42,31,US PRESIDENT,"COBB, DAVID",GREEN,1141,loss,Decrease of tax,Free hospitalization,Free laptop,Govt job to ladies ,Tourism development,27%
2004,IOWA,IA,19,42,31,US PRESIDENT,OTHER,,1094,loss,free cycle,Free Hospitalization,free laptop,Same ration card for all the states,2GB data for college Students,19%
2004,IOWA,IA,19,42,31,US PRESIDENT,"CALERO, ROGER",SOCIALIST WORKERS,373,loss,Loan waiver to hotels ,Decrease of  Tax,Free Education,6 LPG cylinder are free for a year,Cancel of Education Loan,20%
2004,KANSAS,KS,20,47,32,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,736456,win,Introducing Metro Trains in 2nd Level Cities,Loan Waiver to hotels,Free laptop,Tourism Development,Decrease in petrol,30%
2004,KANSAS,KS,20,47,32,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,434993,loss,Job to Youth 40%,2GB data for college Student,free Bicycle,Decrease of tax,Eradication of Racisim,20%
2004,KANSAS,KS,20,47,32,US PRESIDENT,"NADER, RALPH",REFORM PARTY,9348,loss,Tourism Development,Improvising USn Economy to 5Trillion dollars,Gas Pipeline plan,Increasing the investment from foreign MNC's,Jobs for Youth40%,70%
2004,KANSAS,KS,20,47,32,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,4013,loss,free washing machine for each house ,Monthly rs 1500 for household women,Building concrete houses for people living in huts,Improvising USn Economy to 5 Trillion Dollars,Free Hospitalization,16%
2004,KANSAS,KS,20,47,32,US PRESIDENT,"PEROUTKA, MICHAEL",INDEPENDENT,2899,loss,Free Education ,Hi-Tech Highways,Gas Pipeline plan,Free Laptops,Same Ration card forll the States,38%
2004,KANSAS,KS,20,47,32,US PRESIDENT,OTHER,,47,loss,Loan waiver to hotels ,Decrease of  Tax,Clean US ,Tourism Development,Eradication of Racisim,29%
2004,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,1803800,win,Same ration card for all States,Monthly rs 1500 for household women,Government Jobs for Ladies ,Free Laptops,Free Bicycle,33%
2004,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,1071109,loss,Loan waiver to hotels ,6 LPG cylinder are free for a year,Improving the infrastructure in harbour ports,Free education,Cancel of Education Loan,40%
2004,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,BLANK VOTE/SCATTERING,,15067,loss,Job to Youth 40%,Free Education,free Bicycle,2GB data for college students ,Education Improvement,28%
2004,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,15022,loss,Decrease in Petrol,Free Laptop,Building concrete houses for people living in huts,Improvising USn Economy to 5 Trillion Dollars,Free washing machine for each house,18%
2004,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"COBB, DAVID",GREEN-RAINBOW,10623,loss,Free Education ,Improvising US economy to 5 trillion dollars,Cancel of Education loan,2GB data for college students ,Hi-Tech Highways,29%
2004,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,OTHER,,7028,loss,Same ration card for all States,Free Education ,Jobs for Youth 40%,Free Hospitalization,Clean US,19%
2004,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"NADER, RALPH",INDEPENDENT,4806,loss,Transportation service in rural areas,Monthly rs 1500 for household women,Free Education ,Hi-Tech Highways,Loan waiver To Hotels,38%
2004,MICHIGAN,MI,26,34,23,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,2479183,win,Introducing Metro Trains in 2nd Level Cities,Improving Infrastructure in harbour ports ,Increasing the public Toilets Facility,Same ration card for all the states,Clean US,39%
2004,MICHIGAN,MI,26,34,23,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,2313746,loss,6 LPG Cylinder are free for a year ,Free Laptop,2GB data for college Student ,Gas Pipeline Plan,Eradication of Racisim,26%
2004,MICHIGAN,MI,26,34,23,US PRESIDENT,"NADER, RALPH",NO PARTY AFFILIATION,24035,loss,Improvising USn Economy to 5 Trillion dollars,Free Bicycle,Free Education,Monthly rs 1500 for household women,Loan waiver To Hotels,23%
2004,MICHIGAN,MI,26,34,23,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,10552,loss,Government job to Women,Tourism Development ,Improvising US economy to 5 trillion dollars,6 LPG cylinder are free for a year,Free Education ,19%
2004,MICHIGAN,MI,26,34,23,US PRESIDENT,"COBB, DAVID",GREEN,5325,loss,Same ration card for all States,Loan Waiver to hotels,Increasing the public Toilets Facility,Free Laptops,Free Bicycle,19%
2004,MICHIGAN,MI,26,34,23,US PRESIDENT,"PEROUTKA, MICHAEL",U.S. TAXPAYERS PARTY,4980,loss,Hi-Tech Highways,Improving Infrastructure in harbour ports ,Free Hospitalization,free bicycle,Monthly rs 1500 for household women,32%
2004,MICHIGAN,MI,26,34,23,US PRESIDENT,"BROWN, WALT",NATURAL LAW,1431,loss,Same ration card for all States,Free Bicycle,Loan waiver to hotel,Hi-Tech Highways,Free Laptops,10%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,4180755,loss,Eradication of Racisim,Improvising USn Economy to 5Trillion dollars,Hi-Tech Highways,Gas Pipeline Plan,Cancel of Education Loan,28%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,2806993,win,Hi-Tech Highways,Jobs for Youth 40%,Education Empowerment,Improvising USn Economy to 5 Trillion Dollars,Gas pipeline plan,76%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,"BUSH, GEORGE W.",CONSERVATIVE,155574,loss,Transportation service in rural areas,Monthly rs 1500 for household women,Education Empowerment,Free education,Free Laptops,38%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,"KERRY, JOHN",WORKING FAMILIES,133525,loss,Job to Youth 40%,Education Empowerment ,Tourism Development,Cancel of Education loan,Free Education ,17%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,"NADER, RALPH",INDEPENDENCE,84247,loss,Government job to Women,Increasing the investment from Foregin MNC's,Monthly rs 1500 for household women,Free Hospitalization,Government Job to ladies,27%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,BLANK VOTE/SCATTERING,,57230,loss,Loan waiver to hotels ,Free Laptop,Improvising US economy to 5 trillion dollars,Hi-Tech Highways,Free Education ,37%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,"NADER, RALPH",PEACE AND JUSTICE,15626,loss,Decrease in tax,2 GB data for college student,Improving the infrastructure in harbour ports,Job to Youth 40%,Free Bicycle,16%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,11607,loss,Cancel of education loan,Free washing Machine for Each house,Loan waiver to hotel,Free Hospitalization,Clean US,26%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,"CALERO, ROGER",SOCIALIST WORKERS,2405,loss,Transportation service in rural areas,Free Laptop,2GB data for college Student ,Hi-Tech Highways,Increasing the investment from foregin MNC's,36%
2004,NEW YORK,NY,36,21,13,US PRESIDENT,OTHER,,304,loss,Loan waiver to hotels ,Decrease of  Tax,6 LPG Cylinder are free for a year,Gas Pipeline Plan,Monthly rs 1500 for household women,15%
2008,ALABAMA,AL,1,63,41,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,1266546,win,Transportation service in rural areas,Free Laptop,2GB data for college Student ,Hi-Tech Highways,Increasing the investment from foregin MNC's,21%
2008,ALABAMA,AL,1,63,41,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,813479,loss,Loan waiver to hotels ,Decrease of  Tax,6 LPG Cylinder are free for a year,Gas Pipeline Plan,Monthly rs 1500 for household women,22%
2008,ALABAMA,AL,1,63,41,US PRESIDENT,,INDEPENDENT,16089,loss,Clean US,Increasing the public toilets facility,Cancel of Education loan,Hi-Tech Highways,Increasing the investment from foregin MNC's,23%
2008,ALABAMA,AL,1,63,41,US PRESIDENT,,,3705,loss,Tourism Development,Gas Pipeline Plan,Increasing the Public Toilets,Increasing the investment from foreign MNC's,Introduction Metro Trains in 2nd level cities,87%
2008,ALASKA,AK,2,94,81,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,193841,win,Free Education ,2GB data for college Student,free laptop,Improvising USn Economy to 5 Trillion Dollars,Increasing the investment from foregin MNC's,25%
2008,ALASKA,AK,2,94,81,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,123594,loss,Loan waiver to hotels ,Gas Pipeline Plan,free washing machine for each house ,6 LPG cylinder are free for a year,Increasing the Public toilets facility,26%
2008,ALASKA,AK,2,94,81,US PRESIDENT,"NADER, RALPH",INDEPENDENT,3783,loss,Loan waiver to hotels ,Free Laptop,Improvising US economy to 5 trillion dollars,Hi-Tech Highways,Free Education ,27%
2008,ALASKA,AK,2,94,81,US PRESIDENT,,,1730,loss,Decrease in tax,2 GB data for college student,Improving the infrastructure in harbour ports,Job to Youth 40%,Free Bicycle,28%
2008,ALASKA,AK,2,94,81,US PRESIDENT,"BALDWIN, CHARLES """"CHUCK""""",ALASKAN INDEPENDENCE PARTY,1660,loss,Cancel of education loan,Free washing Machine for Each house,Loan waiver to hotel,Free Hospitalization,Clean US,29%
2008,ALASKA,AK,2,94,81,US PRESIDENT,"BARR, BOB",LIBERTARIAN,1589,loss,Transportation service in rural areas,Free Laptop,2GB data for college Student ,Hi-Tech Highways,Increasing the investment from foregin MNC's,30%
2008,ARIZONA,AZ,4,86,61,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,1230111,win,Loan waiver to hotels ,Decrease of  Tax,6 LPG Cylinder are free for a year,Gas Pipeline Plan,Monthly rs 1500 for household women,31%
2008,ARIZONA,AZ,4,86,61,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,1034707,loss,Clean US,Increasing the public toilets facility,Cancel of Education loan,Hi-Tech Highways,Increasing the investment from foregin MNC's,32%
2008,ARIZONA,AZ,4,86,61,US PRESIDENT,"BARR, BOB",LIBERTARIAN,12555,loss,Transportation service in rural areas,Free Laptop,2GB data for college Student ,Hi-Tech Highways,Increasing the investment from foregin MNC's,33%
2008,ARIZONA,AZ,4,86,61,US PRESIDENT,"NADER, RALPH",INDEPENDENT,11301,loss,distribution of solar-powered cooking stoves,free hospitality,free washing machine,free laptop,free education,34%
2008,ARIZONA,AZ,4,86,61,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,3406,loss,The financial assistance to the differently-abled would be increased .,govt jobs to ladies,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",introducing metro trains in 2nd level cities,government jobs to families without anyone in state services,35%
2008,ARIZONA,AZ,4,86,61,US PRESIDENT,,,1395,loss,2GB Data for clg students,free education,toursim development,loan waiver to hotels,increase in maternity leave period and assistance,36%
2008,ARKANSAS,AR,5,71,42,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,638017,win,6lpg cylinders are free for a year,eradication of racisim,education empowerment,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",free laptop,37%
2008,ARKANSAS,AR,5,71,42,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,422310,loss,increase in maternity leave period and assistance,introducing metro trains in 2nd level cities,free washing machine,free hospitality,free education,38%
2008,ARKANSAS,AR,5,71,42,US PRESIDENT,"NADER, RALPH",INDEPENDENT,12882,loss,govt jobs to ladies,2GB Data for clg students,distribution of solar-powered cooking stoves,Education empowerment,eradication of racisim,39%
2008,ARKANSAS,AR,5,71,42,US PRESIDENT,"BARR, BOB",LIBERTARIAN,4776,loss,eradication of racisim,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",toursim development,loan waiver to hotels,free education,40%
2008,ARKANSAS,AR,5,71,42,US PRESIDENT,"BALDWIN, CHARLES """"CHUCK""""",CONSTITUTION PARTY,4023,loss,government jobs to families without anyone in state services,distribution of solar-powered cooking stoves,loans waiver to hotels,Education empowerment,eradication of racisim,11%
2008,ARKANSAS,AR,5,71,42,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,3470,loss,6lpg cylinders are free for a year,increase in maternity leave period and assistance,introducing metro trains in 2nd level cities,The financial assistance to the differently-abled would be increased .,free laptop,22%
2008,ARKANSAS,AR,5,71,42,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,1139,loss,2GB Data for clg students,free employment,free washing machine,govt jobs to ladies,government jobs to families without anyone in state services,33%
2008,CALIFORNIA,CA,6,93,71,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,8274473,win,free laptop,introducing metro trains in 2nd level cities,education empowerment,eradication of racisim,toursim development,14%
2008,CALIFORNIA,CA,6,93,71,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,5011781,loss,6lpg cylinders are free for a year,free hospitality,increase in maternity leave period and assistance,Education empowerment,The financial assistance to the differently-abled would be increased .,24%
2008,CALIFORNIA,CA,6,93,71,US PRESIDENT,"NADER, RALPH",PEACE & FREEDOM,108381,loss,government jobs to families without anyone in state services,govt jobs to ladies,distribution of solar-powered cooking stoves,toursim development,loans waiver to hotels,34%
2008,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BARR, BOB",LIBERTARIAN,67582,loss,free hospitality,free laptop,free education,free washing machine,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",15%
2008,CALIFORNIA,CA,6,93,71,US PRESIDENT,"KEYES, ALAN",AMERICAN INDEPENDENT PARTY,40673,loss,govt jobs to ladies,government jobs to families without anyone in state services,education empowerment,eradication of racisim,loans waiver to hotels,25%
2008,CALIFORNIA,CA,6,93,71,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,38774,loss,distribution of solar-powered cooking stoves,tourism development,introducing metro trains in 2nd level cities,increase in maternity leave period and assistance,2GB Data for clg students,35%
2008,CALIFORNIA,CA,6,93,71,US PRESIDENT,,INDEPENDENT,20236,loss,The financial assistance to the differently-abled would be increased .,free hospitality,free laptop,free education,6lpg cylinders are free for a year,16%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,1288576,win,govt jobs to ladies,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",eradication of racisim,tourism development,free education,26%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,1073589,loss,distribution of solar-powered cooking stoves,The financial assistance to the differently-abled would be increased .,government jobs to families without anyone in state services,6lpg cylinders are free for a year,free laptop,36%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"NADER, RALPH",INDEPENDENT,13350,loss,eradication of racisim,increase in maternity leave period and assistance,introducing metro trains in 2nd level cities,tourism development,loans waiver to hotels,15%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"BARR, BOB",LIBERTARIAN,10897,loss,The financial assistance to the differently-abled would be increased .,govt jobs to ladies,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",distribution of solar-powered cooking stoves,Education empowerment,25%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"BALDWIN, CHARLES """"CHUCK""""",CONSTITUTION PARTY,6233,loss,toursim development,distribution of solar-powered cooking stoves,education empowerment,eradication of racisim,6lpg cylinders are free for a year,79%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"KEYES, ALAN",AMERICA'S INDEPENDENT PARTY,3051,loss,free education, free hospitality, free washing machine, free laptop,2GB Data for clg students,14%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,2822,loss,toursim development,loans waiver to hotels,government jobs to families without anyone in state services,govt jobs to ladies,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",24%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"MCENULTY, FRANK",UNAFFILIATED,828,loss,6lpg cylinders are free for a year,free hospitality,free laptop,eradication of racisim,distribution of solar-powered cooking stoves,34%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"JAY, CHARLES",BOSTON TEA PARTY,598,loss,2GB Data for clg students,government jobs to families without anyone in state services,govt jobs to ladies,loan waiver to hotels,free employment,13%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"ALLEN, JONATHAN",HEARTQUAKE '08,348,loss,free education,free bicycle, free washing machine,The financial assistance to the differently-abled would be increased .,Education empowerment,23%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"STEVENS, THOMAS R.",OBJECTIVIST PARTY,336,loss,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",distribution of solar-powered cooking stoves,introducing metro trains in 2nd level cities,increase in maternity leave period and assistance,loans waiver to hotels,33%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"MOORE, BRIAN",SOCIALIST,226,loss,6lpg cylinders are free for a year,2GB Data for clg students,distribution of solar-powered cooking stoves,eradication of racisim,Education empowerment,12%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,158,loss,toursim development,introducing metro trains in 2nd level cities,government jobs to families without anyone in state services,eradication of racisim,loans waiver to hotels,22%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"HARRIS, JAMES",SOCIALIST WORKERS,154,loss,free washing machine,The financial assistance to the differently-abled would be increased .,govt jobs to ladies,Education empowerment,eradication of racisim,32%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"LYTTLE, BRADFORD",U.S. PACIFIST PARTY,110,loss,toursim development,distribution of solar-powered cooking stoves,government jobs to families without anyone in state services,6lpg cylinders are free for a year,increase in maternity leave period and assistance,11%
2008,COLORADO,CO,8,84,62,US PRESIDENT,"AMONDSON, GENE",PROHIBITION,85,loss,free washing machine,loans waiver to hotels,2GB Data for clg students,The financial assistance to the differently-abled would be increased .,introducing metro trains in 2nd level cities,21%
2008,CONNECTICUT,CT,9,16,1,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,997772,win,free education,govt jobs to ladies,eradication of racisim,Education empowerment,distribution of solar-powered cooking stoves,31%
2008,CONNECTICUT,CT,9,16,1,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,629428,loss,clean US,hi-tech highway,increase of public toilets facilities,decrease of tax,decrease of petrol price,90%
2008,CONNECTICUT,CT,9,16,1,US PRESIDENT,"NADER, RALPH",INDEPENDENT,19162,loss,government jobs to families without anyone in state services,introducing metro trains in 2nd level cities,increase in maternity leave period and assistance,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",6lpg cylinders are free for a year,13%
2008,CONNECTICUT,CT,9,16,1,US PRESIDENT,,,430,loss,toursim development,The financial assistance to the differently-abled would be increased .,govt jobs to ladies,Education empowerment,distribution of solar-powered cooking stoves,23%
2008,DELAWARE,DE,10,51,11,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,255459,win,loans waiver to hotels,free education,2GB Data for clg students,6lpg cylinders are free for a year,eradication of racisim,24%
2008,DELAWARE,DE,10,51,11,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,152374,loss,toursim development,government jobs to families without anyone in state services,free hospitality,Education empowerment,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",14%
2008,DELAWARE,DE,10,51,11,US PRESIDENT,"NADER, RALPH",INDEPENDENT,2401,loss,2GB Data for clg students,6lpg cylinders are free for a year,The financial assistance to the differently-abled would be increased .,eradication of racisim,govt job to ladies,15%
2008,DELAWARE,DE,10,51,11,US PRESIDENT,"BARR, BOB",LIBERTARIAN,1109,loss,free laptop,distribution of solar-powered cooking stoves,free education,introducing metro trains in 2nd level cities,increase in maternity leave period and assistance,25%
2008,DELAWARE,DE,10,51,11,US PRESIDENT,"BALDWIN, CHARLES """"CHUCK""""",CONSTITUTION PARTY,626,loss,Education empowerment,govt jobs to ladies,government jobs to families without anyone in state services,tourism development,loans waiver to hotels,16%
2008,DELAWARE,DE,10,51,11,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,385,loss,6lpg cylinders are free for a year,The financial assistance to the differently-abled would be increased .,free employment,Education empowerment,eradication of racisim,26%
2008,DELAWARE,DE,10,51,11,US PRESIDENT,"CALERO, ROGER",SOCIALIST WORKERS,58,loss,2GB Data for clg students,introducing metro trains in 2nd level cities,distribution of solar-powered cooking stoves,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",government jobs to families without anyone in state services,17%
2008,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,245800,win,free education,free laptop,free hospitality,free washing machine,govt jobs to ladies,27%
2008,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,17367,loss,government jobs to families without anyone in state services,increase in maternity leave period and assistance,2GB Data for clg students,Education empowerment,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",18%
2008,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,1138,loss,free washing machine,introducing metro trains in 2nd level cities,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",6lpg cylinders are free for a year,govt jobs to ladies,28%
2008,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"NADER, RALPH",INDEPENDENT,958,loss,govt jobs to ladies,free laptop,government jobs to families without anyone in state services,6lpg cylinders are free for a year,increase in maternity leave period and assistance,29%
2008,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,590,loss,eradication of racisim,2GB Data for clg students,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",Education empowerment,free washing machine,19%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,4282074,win,introducing metro trains in 2nd level cities,6lpg cylinders are free for a year,government jobs to families without anyone in state services,free washing machine,distribution of solar-powered cooking stoves,10%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,4045624,loss,eradication of racisim,toursim development,govt jobs to ladies,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",Education empowerment,20%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"NADER, RALPH",ECOLOGY PARTY OF FLORIDA,28124,loss,6lpg cylinders are free for a year,free hospitality,2GB Data for clg students,govt jobs to ladies,introducing metro trains in 2nd level cities,31%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"BARR, BOB",LIBERTARIAN,17218,loss,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",free employment,increase in maternity leave period and assistance,introducing metro trains in 2nd level cities,eradication of racisim,21%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"BALDWIN, CHARLES """"CHUCK""""",CONSTITUTION PARTY,7915,loss,govt jobs to ladies,government jobs to families without anyone in state services,increase in maternity leave period and assistance,free washing machine,Education empowerment,32%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"MCKINNEY, CYNTHIA",GREEN,2887,loss,toursim development,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",education empowerment,govt jobs to ladies,6lpg cylinders are free for a year,22%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"KEYES, ALAN",AMERICA'S INDEPENDENT PARTY,2550,loss,eradication of racisim,government jobs to families without anyone in state services,increase in maternity leave period and assistance,2GB Data for clg students,eradication of racisim,33%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,1516,loss,introducing metro trains in 2nd level cities,govt jobs to ladies,free washing machine,6lpg cylinders are free for a year,free hospitality,23%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"JAY, CHARLES",BOSTON TEA PARTY,795,loss,eradication of racisim,toursim development,6lpg cylinders are free for a year,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques","allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",34%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"CALERO, ROGER",SOCIALIST WORKERS,533,loss,6lpg cylinders are free for a year,free washing machine,free education,free bicycle,government jobs to families without anyone in state services,24%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"STEVENS, THOMAS R.",OBJECTIVIST PARTY,419,loss,"allocation of rs1000 crore towardsrenovation and consecration of hindu temples,rs 200 crore for churches and mosques",increase in maternity leave period and assistance,government jobs to families without anyone in state services,2GB Data for clg students,govt jobs to ladies,35%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"MOORE, BRIAN",SOCIALIST,405,loss,free washing machine,free bicycle,free education,free laptop,6lpg cylinders are free for a year,25%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,,,391,loss,toursim development,introducing metro trains in 2nd level cities,govt jobs to ladies,2GB Data for clg students,eradication of racisim,36%
2008,FLORIDA,FL,12,59,43,US PRESIDENT,"AMONDSON, GENE",PROHIBITION,293,loss,6lpg cylinders are free for a year,increase in maternity leave period and assistance,free washing machine,toursim development,Education empowerment,26%
